City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,touros,-5.1989,-35.4608,299.71,73,100,5.99,BR,1675476292
184,vila franca do campo,37.7167,-25.4333,288.38,89,76,3.14,PT,1675476294
185,ambilobe,-13.2,49.05,295.97,95,12,0.67,MG,1675476295
186,hithadhoo,-0.6,73.0833,300.71,69,94,8.29,MV,1675476296
187,vostok,46.4856,135.8833,258.97,81,63,1.43,RU,1675476296
188,kemijarvi,66.7131,27.4306,250.56,100,100,0.34,FI,1675476296
189,awjilah,29.1081,21.2869,285.64,56,100,2.56,LY,1675476297
190,cayenne,4.9333,-52.3333,298.17,94,100,2.57,GF,1675476016
191,longyearbyen,78.2186,15.6401,258.06,66,0,4.12,SJ,1675476298
192,upernavik,72.7868,-56.1549,247.46,100,100,4.69,GL,1675476298
193,esperance,-33.8667,121.9,295.84,52,23,3.44,AU,1675476299
194,almeirim,-1.5233,-52.5817,296.17,96,100,1.52,BR,1675476299
195,kamen-rybolov,44.7481,132.0403,261.5,80,65,1.25,RU,1675476300
196,torbay,47.6666,-52.7314,274.97,95,100,12.35,CA,1675476030
197,pevek,69.7008,170.3133,239.99,100,31,1.12,RU,1675476300
198,ulladulla,-35.35,150.4667,297.19,26,1,4.86,AU,1675476300
199,burnie,-41.0667,145.9167,287.8,80,100,6.95,AU,1675476301
200,parabel,58.6978,81.4825,256.77,100,100,1.11,RU,1675476301
201,kuching,1.55,110.3333,299.31,86,40,1.54,MY,1675476034
202,ourem,39.6417,-8.5919,280.71,73,0,1.11,PT,1675476302
203,nsunga,-1.1439,31.3947,288.93,88,86,1.4,TZ,1675476302
204,rawson,-43.3002,-65.1023,297.04,43,0,8.0,AR,1675476303
205,beloha,-25.1667,45.05,295.06,89,81,3.58,MG,1675476304
206,prachuap khiri khan,12.2167,99.75,299.99,65,72,1.0,TH,1675476014
207,souillac,-20.5167,57.5167,297.36,94,40,1.54,MU,1675476304
208,harsin,34.2721,47.5861,268.6,78,62,1.36,IR,1675476304
209,marystown,47.1666,-55.1483,267.79,82,93,14.8,CA,1675476065
210,ust-kut,56.7938,105.7672,257.96,97,100,1.28,RU,1675476305
211,hirara,24.8,125.2833,292.3,77,75,6.69,JP,1675476305
212,vysokogornyy,50.1167,139.15,253.99,85,78,1.76,RU,1675476306
213,samarai,-10.6167,150.6667,302.32,73,100,1.62,PG,1675476307
214,hami,42.8,93.45,270.44,42,100,1.71,CN,1675476309
215,ostrovnoy,68.0531,39.5131,261.55,93,98,4.17,RU,1675476310
216,ratnagiri,16.9833,73.3,296.28,41,100,2.57,IN,1675476311
217,moron,-34.6534,-58.6198,296.01,73,29,3.45,AR,1675476312
218,aklavik,68.2191,-135.0107,238.72,98,91,1.65,CA,1675476314
219,mugur-aksy,50.35,90.5,258.11,91,89,2.33,RU,1675476315
220,banamba,13.55,-7.45,292.58,14,86,5.07,ML,1675476316
221,nanortalik,60.1432,-45.2371,264.17,78,100,9.86,GL,1675476317
222,qingyuan,23.7,113.0333,290.14,86,100,0.98,CN,1675476319
223,erzin,36.9559,36.2,278.24,81,100,3.17,TR,1675476319
224,moose factory,51.2585,-80.6094,241.14,62,0,3.6,CA,1675476320
225,thanh hoa,19.8,105.7667,293.84,90,100,0.45,VN,1675476321
226,slonim,53.0867,25.3219,270.1,77,100,3.0,BY,1675476322
227,hualmay,-11.0964,-77.6139,295.33,84,100,3.26,PE,1675476324
228,sao gabriel da cachoeira,-0.1303,-67.0892,295.56,98,100,0.46,BR,1675476324
229,paso de carrasco,-34.8603,-56.0522,295.9,73,40,6.69,UY,1675476326
230,paramonga,-10.6667,-77.8333,295.5,84,100,3.11,PE,1675476328
231,bilma,18.6853,12.9164,292.81,16,61,3.33,NE,1675476329
232,rivadavia,-33.1905,-68.4608,298.98,31,97,6.7,AR,1675476331
233,anshun,26.25,105.9333,281.45,91,100,3.79,CN,1675476331
234,tena,-0.9833,-77.8167,296.09,76,99,1.24,EC,1675476332
235,strezhevoy,60.7333,77.5889,254.55,100,100,1.91,RU,1675476333
236,novoagansk,61.9449,76.6625,256.26,97,100,2.6,RU,1675476334
237,panzhihua,26.5851,101.7128,286.64,34,0,0.46,CN,1675476334
238,pouembout,-21.1333,164.9,306.12,58,100,2.2,NC,1675476335
239,mount isa,-20.7333,139.5,301.02,26,3,6.17,AU,1675476336
240,roald,62.5833,6.1333,276.11,64,100,6.17,NO,1675476337
241,sur,22.5667,59.5289,293.59,57,0,1.44,OM,1675476338
242,saint-augustin,51.226,-58.6502,255.98,77,99,8.54,CA,1675476339
243,klaksvik,62.2266,-6.589,282.66,92,100,11.28,FO,1675476340
244,luderitz,-26.6481,15.1594,289.69,83,83,5.55,NA,1675476341
245,makakilo city,21.3469,-158.0858,296.17,85,100,3.09,US,1675476342
246,lagoa,39.05,-27.9833,287.23,88,100,8.24,PT,1675476343
247,sao filipe,14.8961,-24.4956,294.83,69,100,6.36,CV,1675476344
248,changping,40.2186,116.2197,273.95,26,0,2.19,CN,1675476346
249,salamiyah,35.0113,37.0532,280.3,82,100,2.95,SY,1675476347
250,talnakh,69.4865,88.3972,261.47,96,100,2.33,RU,1675476348
251,alofi,-19.0595,-169.9187,295.09,100,100,5.14,NU,1675476349
252,lourdes,43.1,-0.05,272.88,93,0,3.09,FR,1675476350
253,morondava,-20.2833,44.2833,298.81,85,2,1.38,MG,1675476351
254,aden,12.7794,45.0367,296.54,77,34,3.46,YE,1675476352
255,codajas,-3.8367,-62.0569,295.92,98,99,0.56,BR,1675476353
256,mao,39.8885,4.2658,280.46,100,0,3.09,ES,1675476353
257,coquimbo,-29.9533,-71.3436,291.0,88,75,1.54,CL,1675476198
258,moranbah,-22.0016,148.0466,297.72,71,100,5.65,AU,1675476356
259,stillwater,36.1156,-97.0584,279.57,58,0,4.12,US,1675476244
260,presidente epitacio,-21.7633,-52.1156,294.6,97,100,2.55,BR,1675476358
261,yankton,42.8711,-97.3973,262.29,73,0,3.6,US,1675476351
262,tezu,27.9167,96.1667,293.39,21,0,0.23,IN,1675476360
263,cuamba,-14.8031,36.5372,293.84,98,100,1.45,MZ,1675476360
264,visakhapatnam,17.69,83.2093,294.46,62,6,1.4,IN,1675476361
265,kampong chhnang,12.1667,104.55,300.65,61,79,2.16,KH,1675476361
266,karasburg,-28.0167,18.75,295.8,33,22,1.83,NA,1675476362
267,ankazobe,-18.3167,47.1167,290.53,95,100,1.97,MG,1675476363
268,butaritari,3.0707,172.7902,300.76,77,6,7.16,KI,1675476365
269,wad rawah,15.1603,33.1397,292.47,23,98,6.52,SD,1675476366
270,sawtell,-30.3833,153.1,301.03,50,36,5.66,AU,1675476367
271,siyabuswa,-25.1132,29.0445,293.5,88,36,1.92,ZA,1675476368
272,tacoronte,28.4769,-16.4102,285.51,88,0,2.68,ES,1675476369
273,avarua,-21.2078,-159.775,302.18,79,75,6.69,CK,1675476370
274,dhandhuka,22.3667,71.9833,290.69,27,0,3.47,IN,1675476371
275,arman,59.7,150.1667,255.68,80,90,3.0,RU,1675476372
276,anchorage,61.2181,-149.9003,271.66,92,100,2.57,US,1675476256
277,ilulissat,69.2167,-51.1,260.16,78,100,4.63,GL,1675476374
278,havre-saint-pierre,50.2334,-63.5986,250.15,70,0,12.35,CA,1675476375
279,solnechnyy,50.7214,136.6319,253.51,90,52,1.5,RU,1675476376
280,dinguiraye,11.3,-10.7167,295.96,20,4,1.2,GN,1675476377
281,camacha,33.0833,-16.3333,286.83,67,20,3.6,PT,1675476318
282,ludvika,60.1496,15.1878,265.04,96,48,1.66,SE,1675476379
283,broken hill,-31.95,141.4333,292.51,32,0,5.95,AU,1675476380
284,leona vicario,20.9667,-87.1917,296.08,96,8,1.37,MX,1675476381
285,ixtapa,20.7,-105.2,295.72,88,0,2.06,MX,1675476382
286,belmonte,-15.8631,-38.8828,298.73,84,0,3.94,BR,1675476383
287,aguimes,27.9054,-15.4461,287.41,67,0,3.6,ES,1675476384
288,ploufragan,48.4914,-2.7946,280.98,81,5,1.84,FR,1675476384
289,kholtoson,50.2981,103.3097,255.41,93,49,0.84,RU,1675476385
290,rocky mountain house,52.3668,-114.9188,275.21,64,100,1.54,CA,1675476270
291,tricase,39.9304,18.3553,283.33,74,70,0.52,IT,1675476386
292,marsh harbour,26.5412,-77.0636,296.88,79,27,6.27,BS,1675476358
293,quatre cocos,-20.2078,57.7625,297.21,83,57,3.2,MU,1675476386
294,waipawa,-41.4122,175.5153,297.92,60,1,3.15,NZ,1675476387
295,tres lagoas,-20.7511,-51.6783,294.75,97,100,2.06,BR,1675476215
296,pangnirtung,66.1451,-65.7125,237.63,89,100,0.85,CA,1675476388
297,goure,13.9835,10.2704,292.44,19,18,3.32,NE,1675476388
298,staunton,38.1496,-79.0717,267.69,42,0,3.6,US,1675476389
299,grindavik,63.8424,-22.4338,276.12,87,75,18.52,IS,1675476389
300,badiraguato,25.3667,-107.5167,294.1,41,0,1.74,MX,1675476389
